,Model,Dimensions,Correlation to Humans,pvalue
0,Llama,Concealability,-0.1798619,0.0845
1,Llama,Persistent Course,0.2550438,0.01362
2,Llama,Disruptiveness,0.6323731,0.0001
3,Llama,Unappealing Aesthetics,0.6892121,0.0001
4,Llama,Controllable Origin,0.5237632,0.0001
5,Llama,Peril,0.5950885,0.0001
6,Mistral,Concealability,-0.2835864,0.005876
7,Mistral,Persistent Course,0.2260426,0.02936
8,Mistral,Disruptiveness,0.5523125,0.0001
9,Mistral,Unappealing Aesthetics,0.4385544,0.0001
10,Mistral,Controllable Origin,0.06644708,0.5268
11,Mistral,Peril,0.3183567,0.001871
12,Granite,Concealability,-0.1712283,0.1008
13,Granite,Persistent Course,0.393493,0.0001
14,Granite,Disruptiveness,0.4597538,0.0001
15,Granite,Unappealing Aesthetics,0.6302546,0.0001
16,Granite,Controllable Origin,0.03136662,0.7653
17,Granite,Peril,0.5982718,0.0001
