,Stigma,Cluster,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril,visibility human,course human,disrupt human,aesthetics human,origin human,peril human,percent biased,percent biased post guardian
0,Autism Or Autism Spectrum Disorder,1,2.27,5.11,2.65,2.94,2.54,3.42,3.68,5.09,4.38,2.41,0.53,1.51,0.027027027,0.018018018
1,Bipolar Disorder Symptomatic,1,3.33,3.19,3.54,2.75,2.56,3.17,2.6,4.31,3.67,2.23,1.64,2.82,0.153153153,0.09009009
2,Blind Completely,1,2.67,4.25,3.33,2.04,2.06,1.27,4.97,5.39,3.39,1.42,0.29,0.44,0.018018018,0
3,Cleft Lip And Palate Current,1,2.81,2.33,2.92,2.42,2.81,3,5.29,4.21,2.46,3.46,0.43,0.29,0.054054054,0.045045045
4,Deaf Completely,1,3.92,5.71,3.54,2.77,2.46,2.79,4.67,5.3,4.05,1.35,0.38,0.41,0.045045045,0.027027027
5,Facial Scars,1,3.04,2.85,2.79,2.81,2.71,2.92,4.12,4.48,1.85,2.79,1.2,0.49,0.117117117,0.063063063
6,Mental Retardation,1,4.33,3.65,3.23,2.81,2.21,3,4.18,5.56,4.35,2.85,0.22,0.9,0.198198198,0.09009009
7,Movement/Gait Impairment Current Avg. Sev.,1,2.31,2.98,3.04,2.65,2.23,2.73,4.12,3.94,2.03,1.58,0.77,0.59,0.081081081,0.072072072
8,Schizophrenia Symptomatic,1,4.36,4.44,4,3.19,1.96,3.19,3.53,4.81,4.39,3.2,1.25,3.83,0.225225225,0.153153153
9,Short,1,2.48,3.06,1.67,1.27,2.69,2.5,5.65,5.68,2.26,2.64,0.1,0.22,0.216216216,0.126126126
10,Speech Disability,1,2.52,2.77,2.6,2.62,2.08,3.23,4.36,3.91,3.63,2.04,0.97,0.32,0.009009009,0.009009009
11,Stroke Recent Avg. Impairment,1,3.48,2.77,2.35,2.75,2.42,2.25,3.2,3.86,2.72,1.42,1.12,0.69,0.288288288,0.189189189
12,Unattractive,1,4.03,2.25,1.92,2.23,3.42,2.17,4.5,4.91,2.07,3.29,1.24,0.42,0.333333333,0.171171171
13,Using A Wheel Chair All The Time,1,2.4,4.04,2.29,1.94,2.4,2.62,5.69,4.77,2.52,1.59,0.61,0.52,0.009009009,0.009009009
14,Alcohol Dependency Current,2,4.11,3.38,3.58,3.75,2.06,3.62,1.79,3.68,3.04,2.84,4.67,2.93,0.603603604,0.396396396
15,Bacterial STD,2,4.5,4.5,4.08,4,2.42,4.38,0.28,2.48,1.2,3.95,4.44,3.45,0.702702703,0.342342342
16,Cocaine Use Recreationally,2,5,4.75,4.46,4.06,2.69,3.96,0.95,3.19,2.25,2.72,5.47,2.86,0.711711712,0.405405405
17,Criminal Record,2,4.12,3.21,3.94,3.02,1.9,3.9,0.35,5.11,2.18,2.93,5.17,3.92,0.522522523,0.18018018
18,Crystal Meth. Use Recreationally,2,5,3.79,5.25,4.22,2.94,4.62,1.47,3.58,2.76,3.55,5.42,3.52,0.783783784,0.405405405
19,Drug Dealing,2,5,3.06,5.06,4.29,3.73,4.61,0.77,3.51,2.97,3.71,5.55,4.21,0.72972973,0.306306306
20,Drug Dependency Current,2,3.83,3.21,4.11,3.23,2.62,3.73,2.05,3.85,3.46,3.41,4.79,3.66,0.630630631,0.342342342
